gene
RNU6-1220P
SNORD3H
RNA5SP274
RNU6-748P
RN7SL41P
SNORD77B
RNU6ATAC8P
RNU6-1224P
MIR5680
RNA5SP275
RNA5SP276
RNU6-12P
RNU7-67P
RN7SL228P
RN7SL826P
MIR2053
MIR548AZ
SNORA72
RNU4-83P
RNU4-37P
MIR7848
MIR1302-7
RNU6-442P
C8orf17
MIR1205
RNVU1-32
MIR1206
RNU4-25P
MIR1207
LINC02912
LINC02886
HIGD1AP6
PKMP4
RPL32P20
DPPA3P7
MIR5681A
MIR5681B
PCBP2P2
MIR2052
UBE2L3P2
XRCC6P4
SRPK2P1
TARDBPP4
RN7SL135P
RN7SKP206
MIR3686
MTRF1LP2
MIR7112
MIR6848
MIR939
MIR1234
MIR6849
SLC45A4-AS1
SLC45A4-AS2
HNRNPA1P38
RN7SL798P
RN7SL323P
SNORD54
NPM1P21
MOS
RNA5SP268
LINC02878
CCDC166
MIR4664
MIR937
MIR6845
MIR661
MIR6846
MIR6847
WDR97
TSSK5P
C8orf44-SGK3
PTTG3P
SNORD87
MAPK6P5
GAPDHP62
RNU6-1092P
MIR7705
RNU6ATAC41P
AURKBP1
RPS17P14
RNU6-285P
TYW2
MIR6844
MIR4662B
MIR4662A
MRS2P1
MRPL57P7
RN7SKP85
IGF2BP2P3
MSL3P3
MIR599
MIR875
RN7SL350P
NTAN1P2
SLC2A3P4
MIOXP1
UBE2Q2P10
GOLGA2P1
CNGB3
SLC16A14P1
TAGLN2P1
RNU7-84P
RPL12P24
HMGB1P46
RBM12B-AS1
MAFA
RN7SKP175
TIGD5
POU5F1P2
ADI1P2
AZIN1-AS2
RPL5P24
RN7SL395P
MIR6850
TMED10P1
MIR548A3
RPL26P26
RAD21-AS1
MIR3610
MIR6893
RN7SKP153
RN7SL760P
GYG1P1
RPS20P21
DSTNP3
RNU6-1300P
RPS3AP32
RNU6-1197P
ST18-AS2
ST18-AS1
RPL34P17
HMGB1P19
U3
FAM83A-AS2
MIR4663
ZHX1-C8orf76
UBA52P5
RNU6-628P
FABP9
FTH1P11
NIPA2P4
RPS26P34
SLC10A5P1
SLC10A5
HNRNPA1P36
RNU6-519P
RNU6-869P
RNU11-4P
PRNCR1
ERICD
MIR151A
RNA5SP278
LINC02933
RNU6-1011P
PTMAP15
CPP
MIR4661
COX6B1P6
RNU6-925P
RNU6-1209P
MIR3150B
MIR3150A
RNU6-665P
RNU6-144P
ZYXP1
PEG13
RPL15P12
CYRIB-AS1
RNU7-181P
MIR5194
RNU6-1255P
ASAP1-IT2
RRS1
RNU6-1324P
RNU2-71P
SLC25A51P3
RN7SL107P
CKS1BP7
RNU11-6P
RN7SL308P
HMGB1P41
EBAG9UORF
SYBU-AS1
U2
IFITM3P8
VTA1P2
IARS2P1
SOX5P1
MROH5
RNU7-85P
MAPRE1P1
RNU1-35P
U8
RNU6-756P
ASNSP1
IMPA1P1
ZNF252P
KRT8P3
RN7SKP97
MIR4470
C4orf46P3
THAP12P7
LINC02605
CDC42P3
AK3P2
PRR13P7
MRPS16P1
MIR1204
SLC25A32
RNU105C
RN7SL250P
TRMT112P7
SEC11B
RPL7L1P18
HPYR1
XKR4
SBF1P1
RNA5SP265
SNORA1B
RNU6-1213P
LINC02986
RPSAP47
RNU7-174P
MIR3151
ST13P6
MTND2P7
MTCO1P49
ZFAT-AS1
MIR30B
MIR30D
RPL23AP56
LINC01591
GSDMC
RPL37P6
SDR16C6P
SMPD5
ARC
LINC00534
RNA5SP273
RN7SKP231
MIR4472-1
RN7SL260P
MROH4P
RPS27AP13
RNU6-1331P
CRIPTOP5
RNU6ATAC32P
C1GALT1P3
NARS1P2
MIR4471
RN7SKP249
ZNNT1
DUXAP2
NACA4P
RN7SL563P
GRHL2-DT
SMILR
CDK5P1
WASHC5-AS1
RN7SL329P
LINC01111
LINC03018
LNMICC
PKIA-AS1
LINC01603
VPS13B-DT
LINC03024
OTUD6B-AS1
ARFGEF1-DT
LINC02235
LINC00967
LINC01608
BAALC-AS1
BAALC-AS2
XKR4-AS1
LINC01298
LINC03148
LINC03133
FLJ46284
IADEN
LINC03090
LINC03044
UBR5-DT
LINC03047
LNCOC1
ST3GAL1-DT
LINC02844
SLCO5A1-AS1
ZHX2-AS1
MAL2-AS1
LACTB2-AS1
PENK-AS1
LINC00824
LINC03020
LINC00964
RBM12B-DT
MSC-AS1
DENND3-AS1
LINC00293
LY6S-AS1
HAS2-AS1
LINC02855
TRIB1AL
MIR124-2HG
WWP1-AS1
RNF139-DT
LINC01609
ASTILCS
FAM83A-AS1
ST18-AS3
LINC01300
MIR3150BHG
LINC01414
LINC02947
LINC00051
LINC02847
LINC03054
LINC02599
CASC9
CERNA3
C8orf34-AS1
TOX-DT
LINC01602
SQLE-DT
LY6E-DT
OXR1-AS1
YTHDF3-DT
E2F5-DT
ZFHX4-AS1
PARAIL
LINC00251
SAMD12-AS1
GASAL1
LINC01301
BHLHE22-AS1
LINC02845
PDE7A-DT
SNTB1-AS2
LINC02842
LINC00536
LINC02055
LINC00588
SLURP2-AS1
LINC02894
PCAT1
LINC02964
LINC00861
FER1L6-AS2
MITA1
LINC01607
LINC02839
MAILR
LINC01419
RN7SL396P
DEPTOR-AS1
RNA5SP277
LINC01592
RNU7-102P
TPM4P3
RN7SKP135
LINC01289
PTPN11P2
PPIAP85
RNU4-50P
RPL29P19
ASNSP4
TRPA2P
HSPE1P14
ZNF317P1
LINC01606
SERPINA15P
LINC02237
SEPTIN10P1
RPS20P23
VIRMA-DT
RRS1-DT
LINC01030
TRIQK-AS1
RDH10-AS1
LINC00968
PCMTD1-DT
CFAP418-AS1
LINC01151
CIBAR1-DT
CNGB3-AS1
LINC02984
CCDC26
CASC11
PVT1
MIR1208
RN7SKP226
LINC03071
MINCR
RNU6-220P
RHPN1-AS1
MAFA-AS1
LINC02906
MIR2052HG
CCAT2
C8orf44
SNHG6
GAPDHP30
UQCRB-AS1
RNU6-1172P
RNU6-875P
MIR548D1
MIR548AA1
DUTP2
IMPDH1P6
U4
RN7SKP155
CA3-AS1
REXO1L8P
REXO1L3P
REXO1L1P
REXO1L12P
REXO1L11P
REXO1L10P
REXO1L9P
REXO1L2P
REXO1L4P
REXO1L5P
REXO1L6P
LINC02849
TONSL-AS1
ZNF252P-AS1
TMEM276-ZFTRAF1
TMEM69P1
SUMO2P18
RPS23P1
RPL30-AS1
RNU6-703P
RNU6-914P
ZFPM2-AS1
CASC19
CASC8
MIR3149
HIGD1AP18
HGH1
CHMP4C
SLURP2
CEBPD
GPR20
TG
RIDA
CYC1
MATN2
GRHL2
MSC
TGS1
FER1L6
PXDNL
MRPL13
TMEM276
YWHAZ
BPNT2
KCNV1
COPS5
SNTG1
UTP23
VCPIP1
PTDSS1
RMDN1
RSPO2
RBM12B
CCN4
HAS2
HEY1
DPY19L4
LY6E
TMEM65
CCN3
CA2
TRIQK
FAM91A1
NIPAL2
MTBP
RPL30
PLEC
AARD
ZFAND1
C8orf88
DNAJC5B
FABP4
NPBWR1
ST18
OTUD6B
CRH
SPAG1
CSPP1
MROH6
LRP12
SLCO5A1
MTFR1
PLAG1
ATP6V1C1
RNF139
SDCBP
IL7
CFAP418
MAF1
DEPTOR
HNF4G
IMPA1
SLC52A2
RPL7
TRAPPC9
FABP12
DGAT1
LYPD2
EBAG9
CALB1
LACTB2
TATDN1
POP1
TRAM1
TMEM70
IQANK1
OPRK1
KCNQ3
CRISPLD1
LY96
SHARPIN
PEX2
SLC7A13
LRRC14
ZFPM2
COL14A1
ZNF517
FZD6
ADCK5
ZFP41
RP1
GFUS
COMMD5
SLA
KLF10
ATP6V0D2
NDRG1
POLR2K
LAPTM4B
ASPH
JPH1
ZNF706
MROH1
SLC39A4
PSCA
CLVS1
GLI4
STK3
CPA6
EXT1
POU5F1B
CPSF1
KCNK9
EIF3H
ZHX1
CSMD3
STMN2
MYC
EYA1
UBE2V2
TMEM68
C8orf76
PAG1
KIFC2
SLURP1
RAD54B
LY6L
SYBU
CA3
AGO2
TP53INP1
SPATC1
VIRMA
SNAI2
TSNARE1
SCX
RECQL4
ARHGAP39
SDR16C5
CPNE3
CA1
RUNX1T1
RAD21
ZNF16
NUDCD1
RNF19A
ANXA13
TCEA1
TRHR
TMEM64
CCNE2
DENND3
DSCC1
EIF3E
CYP11B1
MTSS1
NBN
SGK3
LY6D
ST3GAL1
SNX31
ZNF696
NAPRT
KCNB2
PI15
SLC26A7
ARMC1
MYBL1
COLEC10
GDF6
ADHFE1
SULF1
MAL2
CATSPERQ
TMEM71
EEF1D
PHF20L1
ZNF704
SNX16
RALYL
PTK2
WASHC5
DECR1
OSR2
ZHX2
SLC30A8
ZNF707
PTP4A3
PKHD1L1
EMC2
ZFHX4
SCRIB
LY6K
SBSPON
TRPS1
LRRC24
ZFTRAF1
RPL8
LYN
ZBTB10
CA13
SCRT1
ZNF250
TMEM74
ERICH5
ASAP1
FAM83A
RAB2A
BOP1
NTAQ1
SDC2
NSMCE2
SOX17
FAM110B
NCOA2
PMP2
SPIDR
ZNF623
GGH
SLC33A2
ABRA
GRINA
PYCR3
ESRP1
PRDM14
FABP5
UBE2W
GPIHBP1
FOXH1
BAALC
ANGPT1
PUF60
LRRCC1
PREX2
CNBD1
CIBAR1
E2F5
OXR1
COX6C
NRBP2
NECAB1
GEM
TERF1
ZNF572
OPLAH
RRM2B
CHCHD7
VPS28
DCSTAMP
ZC2HC1A
RGS20
FBXL6
KLHL38
STAU2
VPS13B
LYPLA1
ZFAT
OSGIN2
PDP1
CTHRC1
CDH17
ZNF7
PPDPFL
PENK
MAPK15
MED30
HHLA1
EPPK1
KCNS2
C8orf89
UBR5
LYNX1
TNFRSF11B
PARP10
TAF2
FBXO32
MRPS28
C8orf82
NDUFB9
CYP11B2
PABPC1
CYRIB
GML
RB1CC1
ENPP2
SQLE
RDH10
MTDH
CHRAC1
MRPL15
COL22A1
ARFGEF1
ADGRB1
PPP1R42
PKIA
MMP16
EFR3A
RPS20
TOX
ALKAL1
GPT
RIMS2
VXN
JRK
SAMD12
GPAA1
CA8
FAM83H
CHD7
CYP7A1
MTERF3
TRIB1
RIPK2
LRRC69
UBXN2B
LY6S
TMEM67
TOP1MT
MCMDC2
DERL1
RGS22
ZNF34
UQCRB
TRIM55
WWP1
ENY2
XKR9
FSBP
LY6H
RHPN1
LRATD2
PIP4P2
C8orf34
RBIS
OC90
PPP1R16A
INTS8
PLEKHF2
CLXN
ANKRD46
PCMTD1
NDUFAF6
TTPA
EXOSC4
CYP7B1
CPQ
ATP6V1H
GSDMD
ZNF251
SNTB1
FBXO43
ADCY8
HSF1
GDAP1
TRPA1
DNAAF11
NCALD
NKAIN3
ATAD2
ELOC
TPD52
C8orf90
YTHDF3
C8orf33
FAM135B
NSMAF
DPYS
ZC3H3
SLC45A4
PDE7A
DCAF13
TONSL
TBC1D31
THEM6
AZIN1
KHDRBS3
PRKDC
TCF24
MCM4
